Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BBR;23/06/2026;719,73;730,16;715,78;721,80;0,00;0
BBR;22/06/2026;739,66;748,12;723,12;728,57;0,00;0
BBR;18/06/2026;729,13;748,77;717,85;747,27;0,00;0
BBR;17/06/2026;735,52;769,07;729,60;744,64;0,00;0
BBR;16/06/2026;769,54;770,20;734,21;739,37;0,00;0
BBR;15/06/2026;776,40;778,47;767,85;772,93;0,00;0
BBR;12/06/2026;820,11;831,86;796,24;809,39;0,00;0
BBR;11/06/2026;860,05;869,07;828,85;837,50;0,00;0
BBR;10/06/2026;847,95;875,69;841,54;859,68;0,00;0
BBR;09/06/2026;865,18;867,01;833,83;847,83;0,00;0
BBR;08/06/2026;907,06;911,82;872,38;874,53;0,00;0
BBR;05/06/2026;888,79;891,25;866,72;870,71;0,00;0
BBR;04/06/2026;911,27;914,94;883,17;888,40;0,00;0
BBR;03/06/2026;920,77;930,16;909,77;919,26;0,00;0
BBR;02/06/2026;885,62;904,69;872,74;902,25;0,00;0
BBR;01/06/2026;880,82;918,51;870,86;913,90;0,00;0
BBR;29/05/2026;859,39;873,40;845,39;856,39;0,00;0
BBR;28/05/2026;889,09;893,60;854,98;871,24;0,00;0
BBR;27/05/2026;889,66;891,63;863,62;867,01;0,00;0
BBR;26/05/2026;893,98;918,79;893,13;908,55;0,00;0
BBR;25/05/2026;941,82;941,82;941,82;941,82;0,00;0
BBR;22/05/2026;954,22;965,13;923,68;941,82;0,00;0
BBR;21/05/2026;962,50;989,19;929,41;935,15;0,00;0
BBR;20/05/2026;989,75;993,42;934,02;949,62;0,00;0
BBR;19/05/2026;997,18;1.007,23;988,53;1.002,91;0,00;0
BBR;18/05/2026;997,36;1.015,41;965,88;1.010,15;0,00;0
BBR;15/05/2026;968,13;987,31;964,00;984,39;0,00;0
BBR;14/05/2026;957,04;967,57;937,12;952,81;0,00;0
BBR;13/05/2026;963,25;978,10;953,75;954,88;0,00;0
BBR;12/05/2026;970,86;987,23;967,12;975,84;0,00;0
BBR;11/05/2026;958,28;970,43;944,66;950,69;0,00;0
BBR;08/05/2026;932,04;945,50;921,57;937,98;0,00;0
BBR;07/05/2026;940,09;954,45;896,40;926,57;0,00;0
BBR;06/05/2026;1.019,83;1.022,36;909,39;943,90;0,00;0
BBR;05/05/2026;1.068,60;1.071,99;1.030,45;1.032,61;0,00;0
BBR;04/05/2026;1.021,99;1.082,23;1.021,80;1.075,56;0,00;0
BBR;01/05/2026;1.052,34;1.055,26;999,71;1.016,63;0,00;0
BBR;30/04/2026;1.055,73;1.057,80;1.007,04;1.037,59;0,00;0
BBR;29/04/2026;989,94;1.047,93;987,96;1.037,96;0,00;0
BBR;28/04/2026;975,00;994,36;969,17;981,20;0,00;0
BBR;27/04/2026;949,81;964,19;936,18;955,73;0,00;0
BBR;24/04/2026;938,81;952,25;917,57;931,67;0,00;0
BBR;23/04/2026;915,60;952,72;901,78;933,74;0,00;0
BBR;22/04/2026;869,17;909,02;867,01;903,94;0,00;0
BBR;21/04/2026;846,14;890,03;840,13;876,31;0,00;0
BBR;20/04/2026;847,46;857,04;831,67;849,90;0,00;0
BBR;17/04/2026;873,02;874,24;784,49;813,06;0,00;0
BBR;16/04/2026;853,47;881,95;853,47;879,41;0,00;0
BBR;15/04/2026;850,28;869,54;846,80;853,47;0,00;0
BBR;14/04/2026;875,93;881,29;846,61;849,81;0,00;0
BBR;13/04/2026;903,17;920,00;877,57;878,47;0,00;0
BBR;10/04/2026;877,66;890,05;858,40;866,99;0,00;0
BBR;09/04/2026;891,01;911,78;868,90;870,77;0,00;0
BBR;08/04/2026;874,83;892,12;841,91;873,62;0,00;0
BBR;07/04/2026;1.045,48;1.050,18;1.009,66;1.009,66;0,00;0
BBR;06/04/2026;1.027,72;1.044,36;1.004,41;1.031,67;0,00;0
BBR;02/04/2026;1.011,37;1.030,92;990,22;1.024,71;0,00;0
BBR;01/04/2026;929,04;978,00;926,78;950,75;0,00;0
BBR;31/03/2026;1.005,54;1.017,85;966,63;977,16;0,00;0
BBR;30/03/2026;1.018,70;1.027,06;999,24;1.009,30;0,00;0
BBR;27/03/2026;957,80;993,42;957,80;989,84;0,00;0
BBR;26/03/2026;932,23;963,15;932,23;957,61;0,00;0
BBR;25/03/2026;905,82;920,58;880,26;914,09;0,00;0
BBR;24/03/2026;927,16;946,71;908,27;942,01;0,00;0
BBR;23/03/2026;1.023,12;1.030,63;863,72;901,50;0,00;0
BBR;20/03/2026;975,18;1.009,11;963,53;1.000,09;0,00;0
BBR;19/03/2026;1.018,79;1.052,91;963,43;975,37;0,00;0
BBR;18/03/2026;918,23;987,31;917,95;967,29;0,00;0
BBR;17/03/2026;934,96;939,19;913,90;934,11;0,00;0
BBR;16/03/2026;938,43;953,66;896,71;902,63;0,00;0
BBR;13/03/2026;913,62;931,76;886,84;929,60;0,00;0
BBR;12/03/2026;881,67;916,91;861,84;908,17;0,00;0
BBR;11/03/2026;799,71;850,41;799,71;839,75;0,00;0
BBR;10/03/2026;853,55;856,72;751,24;806,16;0,00;0
BBR;09/03/2026;991,37;999,34;884,26;900,52;0,00;0
BBR;06/03/2026;795,78;875,24;791,56;860,82;0,00;0
BBR;05/03/2026;786,65;807,23;766,63;794,51;0,00;0
BBR;04/03/2026;784,86;793,89;755,16;765,03;0,00;0
BBR;03/03/2026;759,39;799,53;736,84;765,03;0,00;0
BBR;02/03/2026;752,25;754,13;721,42;730,63;0,00;0
BBR;27/02/2026;669,92;691,07;668,60;684,86;0,00;0
BBR;26/02/2026;665,69;679,98;650,65;665,78;0,00;0
BBR;25/02/2026;665,60;670,67;660,43;664,37;0,00;0
BBR;24/02/2026;670,48;675,65;662,87;663,34;0,00;0
BBR;23/02/2026;662,96;677,06;661,93;668,32;0,00;0
BBR;20/02/2026;669,26;672,18;664,28;670,11;0,00;0
BBR;19/02/2026;661,18;671,89;660,15;669,83;0,00;0
BBR;18/02/2026;629,98;657,70;629,41;655,73;0,00;0
BBR;17/02/2026;633,64;642,66;622,36;628,47;0,00;0
BBR;16/02/2026;630,54;630,54;630,54;630,54;0,00;0
BBR;13/02/2026;627,63;633,17;623,02;630,54;0,00;0
BBR;12/02/2026;647,08;649,53;625,46;628,85;0,00;0
BBR;11/02/2026;646,91;658,59;646,07;646,14;0,00;0
BBR;10/02/2026;644,45;648,74;639,98;641,42;0,00;0
BBR;09/02/2026;630,73;650,11;629,73;645,37;0,00;0
BBR;06/02/2026;641,84;645,60;624,98;638,47;0,00;0
BBR;05/02/2026;642,10;648,02;629,51;633,79;0,00;0
BBR;04/02/2026;633,08;655,63;629,51;652,81;0,00;0
BBR;03/02/2026;619,92;637,03;612,87;632,80;0,00;0
BBR;02/02/2026;620,39;625,84;616,07;623,12;0,00;0
BBR;30/01/2026;641,44;659,86;641,44;651,50;0,00;0
BBR;29/01/2026;640,78;663,25;640,50;654,04;0,00;0
BBR;28/01/2026;625,84;634,39;621,61;633,17;0,00;0
BBR;27/01/2026;606,10;627,63;603,38;625,84;0,00;0
BBR;26/01/2026;610,80;615,13;606,39;608,74;0,00;0
BBR;23/01/2026;598,12;613,25;597,93;611,56;0,00;0
BBR;22/01/2026;603,94;605,45;591,25;595,30;0,00;0
BBR;21/01/2026;595,30;607,98;592,57;606,48;0,00;0
BBR;20/01/2026;591,72;604,69;589,19;603,28;0,00;0
BBR;19/01/2026;596,42;596,42;596,42;596,42;0,00;0
BBR;16/01/2026;593,60;601,97;591,82;596,42;0,00;0
BBR;15/01/2026;599,34;601,31;589,56;592,85;0,00;0
BBR;14/01/2026;604,22;620,30;601,40;618,70;0,00;0
BBR;13/01/2026;598,53;613,34;597,59;608,55;0,00;0
BBR;12/01/2026;590,58;599,24;586,61;595,39;0,00;0
BBR;09/01/2026;585,77;598,53;579,36;593,23;0,00;0
BBR;08/01/2026;564,47;586,52;562,78;580,73;0,00;0
BBR;07/01/2026;564,47;572,55;562,21;562,81;0,00;0
BBR;06/01/2026;577,25;585,62;568,98;570,48;0,00;0
BBR;05/01/2026;566,16;581,57;561,74;580,45;0,00;0
BBR;02/01/2026;575,56;576,50;564,09;570,95;0,00;0
BBR;01/01/2026;571,89;571,89;571,89;571,89;0,00;0
BBR;31/12/2025;575,00;581,95;569,92;571,89;0,00;0
BBR;30/12/2025;577,34;581,57;575,84;576,40;0,00;0
BBR;29/12/2025;571,89;579,98;571,42;577,91;0,00;0
BBR;26/12/2025;580,92;585,15;565,50;566,16;0,00;0
BBR;25/12/2025;580,82;580,82;580,82;580,82;0,00;0
BBR;24/12/2025;583,27;584,68;578,57;580,82;0,00;0
BBR;23/12/2025;577,63;582,42;575,93;581,48;0,00;0
BBR;22/12/2025;569,83;579,51;568,42;578,75;0,00;0
BBR;19/12/2025;556,48;565,97;555,54;564,37;0,00;0
BBR;18/12/2025;562,50;563,90;557,23;559,21;0,00;0
BBR;17/12/2025;558,17;564,66;556,29;558,27;0,00;0
BBR;16/12/2025;562,68;563,43;550,09;551,40;0,00;0
BBR;15/12/2025;573,96;574,62;562,87;566,72;0,00;0
BBR;12/12/2025;576,22;578,38;569,26;571,80;0,00;0
BBR;11/12/2025;577,72;577,72;568,79;573,87;0,00;0
BBR;10/12/2025;580,35;584,66;574,58;581,48;0,00;0
BBR;09/12/2025;584,92;588,17;579,56;579,96;0,00;0
BBR;08/12/2025;598,92;599,68;584,69;585,39;0,00;0
BBR;05/12/2025;593,53;601,50;592,03;598,47;0,00;0
BBR;04/12/2025;592,29;597,83;587,78;593,79;0,00;0
BBR;03/12/2025;589,19;595,58;587,96;589,00;0,00;0
BBR;02/12/2025;593,13;594,73;584,39;586,93;0,00;0
BBR;01/12/2025;596,42;598,96;589,56;593,70;0,00;0
BBR;28/11/2025;588,34;595,67;583,92;586,27;0,00;0
BBR;27/11/2025;587,78;587,78;587,78;587,78;0,00;0
BBR;26/11/2025;580,26;588,06;578,38;587,78;0,00;0
BBR;25/11/2025;586,93;588,53;572,93;580,82;0,00;0
BBR;24/11/2025;580,26;590,31;576,59;589,47;0,00;0
BBR;21/11/2025;579,88;587,03;575,84;582,14;0,00;0
BBR;20/11/2025;593,60;600,09;586,74;590,22;0,00;0
BBR;19/11/2025;601,59;603,19;586,84;592,10;0,00;0
BBR;18/11/2025;594,45;607,04;594,17;605,54;0,00;0
BBR;17/11/2025;596,80;603,66;595,67;599,24;0,00;0
BBR;14/11/2025;596,71;603,00;593,51;600,75;0,00;0
BBR;13/11/2025;586,27;593,04;584,11;588,72;0,00;0
BBR;12/11/2025;607,10;608,12;586,18;586,93;0,00;0
BBR;11/11/2025;597,19;611,78;597,01;610,22;0,00;0
BBR;10/11/2025;601,61;603,42;594,51;600,71;0,00;0
BBR;07/11/2025;601,05;604,49;593,81;597,57;0,00;0
BBR;06/11/2025;598,30;604,60;590,69;595,09;0,00;0
BBR;05/11/2025;606,10;610,43;596,24;596,99;0,00;0
BBR;04/11/2025;605,54;608,27;599,90;605,63;0,00;0
BBR;03/11/2025;611,56;613,43;604,60;609,86;0,00;0
BBR;31/10/2025;601,69;612,21;599,81;608,74;0,00;0
BBR;30/10/2025;600,84;606,48;596,61;604,98;0,00;0
BBR;29/10/2025;601,69;607,98;595,67;604,51;0,00;0
BBR;28/10/2025;607,98;609,77;596,14;599,90;0,00;0
BBR;27/10/2025;615,03;616,07;604,69;609,96;0,00;0
BBR;26/10/2025;612,78;612,78;612,78;612,78;0,00;0
BBR;24/10/2025;610,24;619,73;609,39;612,78;0,00;0
BBR;23/10/2025;602,16;616,91;601,50;613,62;0,00;0
BBR;22/10/2025;582,80;588,53;579,60;584,86;0,00;0
BBR;21/10/2025;569,92;579,98;565,88;573,59;0,00;0
BBR;20/10/2025;569,26;573,68;563,81;572,18;0,00;0
BBR;19/10/2025;574,24;574,24;574,24;574,24;0,00;0
BBR;17/10/2025;567,29;575,65;563,90;574,24;0,00;0
BBR;16/10/2025;583,45;586,18;569,45;571,33;0,00;0
BBR;15/10/2025;582,80;588,62;578,28;579,22;0,00;0
BBR;14/10/2025;593,51;593,51;575,00;582,89;0,00;0
BBR;13/10/2025;593,42;596,71;588,81;591,54;0,00;0
BBR;12/10/2025;585,33;585,33;585,33;585,33;0,00;0
BBR;10/10/2025;607,66;608,49;584,60;586,18;0,00;0
BBR;09/10/2025;615,75;622,23;607,85;609,36;0,00;0
BBR;08/10/2025;617,72;623,08;616,31;619,43;0,00;0
BBR;07/10/2025;616,69;616,69;606,01;613,21;0,00;0
BBR;06/10/2025;615,41;618,13;608,64;614,56;0,00;0
BBR;05/10/2025;606,48;606,48;606,48;606,48;0,00;0
BBR;03/10/2025;605,73;610,99;603,57;606,48;0,00;0
BBR;02/10/2025;617,66;617,66;601,50;602,53;0,00;0
BBR;01/10/2025;622,18;625,65;611,37;614,19;0,00;0
BBR;30/09/2025;626,87;627,53;617,01;620,58;0,00;0
