Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DOLFUT;21/08/2026;5.179,500;5.194,000;5.143,000;5.146,000;50.290.965.750,00;194.695
DOLFUT;20/08/2026;5.200,000;5.214,500;5.190,000;5.206,000;44.000.772.125,00;169.135
DOLFUT;19/08/2026;5.224,000;5.224,500;5.170,000;5.192,500;60.234.696.000,00;232.330
DOLFUT;18/08/2026;5.223,000;5.238,500;5.206,000;5.229,500;47.106.950.250,00;180.345
DOLFUT;17/08/2026;5.233,500;5.239,500;5.198,500;5.222,500;47.231.502.625,00;181.025
DOLFUT;14/08/2026;5.193,000;5.268,500;5.192,000;5.233,500;65.254.303.125,00;248.975
DOLFUT;13/08/2026;5.207,000;5.220,500;5.196,500;5.201,500;49.357.629.375,00;189.480
DOLFUT;12/08/2026;5.174,500;5.215,000;5.159,000;5.215,000;62.777.425.375,00;242.050
DOLFUT;11/08/2026;5.129,000;5.202,000;5.122,500;5.182,500;60.849.108.500,00;235.310
DOLFUT;10/08/2026;5.111,000;5.146,500;5.110,000;5.133,000;36.505.146.375,00;142.325
DOLFUT;07/08/2026;5.129,500;5.145,500;5.102,000;5.111,000;41.332.033.250,00;161.595
DOLFUT;06/08/2026;5.153,500;5.158,000;5.121,500;5.141,000;43.406.189.750,00;169.055
DOLFUT;05/08/2026;5.146,000;5.166,000;5.130,500;5.151,500;39.980.395.125,00;155.215
DOLFUT;04/08/2026;5.109,500;5.181,000;5.105,000;5.157,500;63.363.128.000,00;246.160
DOLFUT;03/08/2026;5.110,500;5.127,500;5.087,500;5.125,000;45.355.460.375,00;177.470
DOLFUT;31/07/2026;5.109,000;5.125,000;5.097,500;5.117,000;60.682.187.375,00;237.425
DOLFUT;30/07/2026;5.144,797;5.145,301;5.094,452;5.101,500;60.861.737.026,92;238.155
DOLFUT;29/07/2026;5.164,935;5.179,535;5.126,673;5.156,376;73.236.127.595,33;284.035
DOLFUT;28/07/2026;5.157,887;5.169,970;5.149,832;5.166,949;44.908.743.388,95;174.080
DOLFUT;27/07/2026;5.120,128;5.161,914;5.116,100;5.154,363;43.849.247.728,21;170.500
DOLFUT;24/07/2026;5.121,638;5.135,735;5.092,941;5.134,225;45.745.886.927,43;178.820
DOLFUT;23/07/2026;5.119,121;5.138,756;5.115,093;5.126,169;55.762.128.881,41;217.415
DOLFUT;22/07/2026;5.128,183;5.131,204;5.094,452;5.105,024;54.462.973.858,16;213.230
DOLFUT;21/07/2026;5.130,197;5.134,728;5.115,093;5.123,149;38.400.709.669,75;149.920
DOLFUT;20/07/2026;5.158,390;5.165,942;5.132,211;5.141,273;42.722.475.123,72;166.190
DOLFUT;17/07/2026;5.168,459;5.186,584;5.158,390;5.165,439;52.189.438.628,08;201.970
DOLFUT;16/07/2026;5.147,314;5.168,963;5.135,231;5.163,425;39.797.723.324,39;154.440
DOLFUT;15/07/2026;5.132,211;5.143,287;5.113,079;5.134,225;48.814.395.376,92;190.240
DOLFUT;14/07/2026;5.185,577;5.186,080;5.123,149;5.130,197;60.660.568.867,04;236.170
DOLFUT;13/07/2026;5.172,990;5.201,184;5.168,459;5.195,142;46.338.385.901,28;178.690
DOLFUT;10/07/2026;5.178,528;5.189,604;5.160,404;5.172,487;57.573.909.010,70;222.645
DOLFUT;09/07/2026;5.213,770;5.220,315;5.172,487;5.178,025;45.293.569.954,05;174.530
DOLFUT;08/07/2026;5.246,998;5.250,522;5.202,191;5.216,791;53.119.850.052,08;203.660
DOLFUT;07/07/2026;5.202,191;5.238,440;5.197,156;5.228,370;39.733.249.864,56;152.360
DOLFUT;06/07/2026;5.242,971;5.254,047;5.193,129;5.193,129;72.600.137.364,84;278.030
DOLFUT;03/07/2026;5.272,171;5.273,178;5.237,433;5.244,984;32.958.819.344,58;125.640
DOLFUT;02/07/2026;5.272,171;5.293,819;5.232,398;5.280,730;57.780.496.350,08;219.285
DOLFUT;01/07/2026;5.243,474;5.292,309;5.241,964;5.278,212;57.434.010.077,27;217.840
DOLFUT;30/06/2026;5.245,991;5.277,205;5.233,405;5.236,426;69.322.071.700,45;264.120
DOLFUT;29/06/2026;5.243,399;5.264,710;5.231,729;5.253,040;53.710.458.242,86;204.570
DOLFUT;26/06/2026;5.266,232;5.269,276;5.236,296;5.255,577;51.535.588.192,04;196.330
DOLFUT;25/06/2026;5.282,976;5.301,749;5.248,981;5.262,680;70.245.417.680,86;266.510
