Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DOLINDEX;24/08/2026;98,810675;99,023718;98,765293;99,002769;713.996,96;7.221,00000000
DOLINDEX;23/08/2026;98,831417;98,914267;98,792371;98,809322;465.744,48;4.712,00000000
DOLINDEX;22/08/2026;98,831088;98,833960;98,826269;98,831417;234.329,11;2.371,00000000
DOLINDEX;21/08/2026;98,786219;98,910087;98,561386;98,831088;1.476.192,46;14.947,00000000
DOLINDEX;20/08/2026;98,830124;98,933037;98,558036;98,788019;1.592.831,60;16.120,00000000
DOLINDEX;19/08/2026;99,642212;99,691694;98,760952;98,832734;1.601.279,91;16.141,00000000
DOLINDEX;18/08/2026;99,534159;99,692260;99,521868;99,636333;1.605.426,40;16.114,00000000
DOLINDEX;17/08/2026;99,594591;99,647959;99,292014;99,540699;1.605.855,78;16.139,00000000
DOLINDEX;16/08/2026;99,649484;100,136837;99,571892;99,595508;445.002,39;4.464,00000000
DOLINDEX;15/08/2026;99,658173;99,658180;99,641599;99,649484;207.369,17;2.081,00000000
DOLINDEX;14/08/2026;99,920154;99,939216;99,477217;99,658561;1.485.673,38;14.898,00000000
DOLINDEX;13/08/2026;99,945896;100,083608;99,798461;99,921141;1.621.660,17;16.225,00000000
DOLINDEX;12/08/2026;99,808748;100,023727;99,614086;99,949650;1.618.114,76;16.201,00000000
DOLINDEX;11/08/2026;99,770107;99,896778;99,725061;99,805299;1.618.393,60;16.213,00000000
DOLINDEX;10/08/2026;99,633671;99,830924;99,598504;99,770690;1.620.795,37;16.252,00000000
DOLINDEX;09/08/2026;99,607953;99,889797;99,538877;99,641641;444.630,11;4.462,00000000
DOLINDEX;08/08/2026;99,596958;99,607953;99,596794;99,607953;220.120,06;2.210,00000000
DOLINDEX;07/08/2026;99,941707;99,997173;99,404292;99,596958;1.479.771,73;14.831,00000000
DOLINDEX;06/08/2026;99,655589;100,018789;99,633138;99,945657;1.616.672,64;16.196,00000000
DOLINDEX;05/08/2026;99,861125;99,899716;99,629461;99,654905;1.615.138,04;16.190,00000000
DOLINDEX;04/08/2026;100,013127;100,057291;99,830834;99,861355;1.603.082,59;16.039,00000000
DOLINDEX;03/08/2026;99,710785;100,027908;99,420417;100,013163;1.615.891,53;16.186,00000000
DOLINDEX;02/08/2026;99,765081;99,850233;99,552691;99,715107;471.451,47;4.728,00000000
DOLINDEX;01/08/2026;99,764419;99,766410;99,763572;99,765081;234.946,56;2.355,00000000
DOLINDEX;31/07/2026;100,068281;100,458106;99,688229;99,764419;1.500.175,87;14.985,00000000
DOLINDEX;30/07/2026;100,798196;101,071083;99,857203;100,074427;1.629.665,45;16.217,00000000
DOLINDEX;29/07/2026;101,423228;101,494064;100,744059;100,799066;1.633.759,43;16.136,00000000
DOLINDEX;28/07/2026;101,528805;101,639875;101,257743;101,420668;1.642.585,97;16.188,00000000
DOLINDEX;27/07/2026;101,266592;101,545327;101,112410;101,526181;1.639.342,98;16.175,00000000
DOLINDEX;26/07/2026;101,447630;101,461302;101,231329;101,268179;445.179,12;4.392,00000000
DOLINDEX;25/07/2026;101,440858;101,447630;101,439446;101,447630;232.922,73;2.296,00000000
DOLINDEX;24/07/2026;101,456618;101,529195;101,245731;101,440796;1.518.235,29;14.971,00000000
DOLINDEX;23/07/2026;101,114289;101,542073;100,935992;101,452686;1.637.395,63;16.171,00000000
DOLINDEX;22/07/2026;101,174962;101,196791;101,020056;101,115708;1.617.487,24;15.994,00000000
DOLINDEX;21/07/2026;100,954899;101,212341;100,863458;101,163967;1.632.393,24;16.156,00000000
DOLINDEX;20/07/2026;100,840449;101,027737;100,652252;100,956394;1.633.688,55;16.199,00000000
DOLINDEX;19/07/2026;100,775372;100,868355;100,758705;100,841611;450.007,57;4.464,00000000
DOLINDEX;18/07/2026;100,760054;100,780353;100,756831;100,775372;232.680,38;2.309,00000000
DOLINDEX;17/07/2026;100,707599;100,866158;100,648112;100,760054;1.503.752,15;14.924,00000000
DOLINDEX;16/07/2026;100,468000;100,831093;100,435112;100,709849;1.622.814,18;16.129,00000000
DOLINDEX;15/07/2026;100,891297;101,028260;100,354668;100,467202;1.619.001,53;16.071,00000000
DOLINDEX;14/07/2026;101,276211;101,321241;100,592946;100,891948;1.629.183,59;16.127,00000000
DOLINDEX;13/07/2026;101,062221;101,327055;100,792228;101,275796;1.626.658,06;16.088,00000000
DOLINDEX;12/07/2026;100,985350;101,170280;100,973362;101,062506;411.994,38;4.077,00000000
DOLINDEX;11/07/2026;100,968426;100,987984;100,968089;100,985350;231.642,33;2.294,00000000
DOLINDEX;10/07/2026;100,911078;100,996643;100,598493;100,968426;1.511.503,95;14.989,00000000
DOLINDEX;09/07/2026;101,026438;101,037765;100,787311;100,912970;1.635.389,47;16.202,00000000
DOLINDEX;08/07/2026;101,185687;101,274853;100,945408;101,026936;1.635.658,48;16.180,00000000
DOLINDEX;07/07/2026;100,868811;101,194749;100,803871;101,183941;1.632.163,93;16.166,00000000
DOLINDEX;06/07/2026;100,876734;101,146048;100,812695;100,867631;1.633.590,95;16.178,00000000
DOLINDEX;05/07/2026;100,867500;100,903652;100,777513;100,874186;458.873,68;4.550,00000000
DOLINDEX;04/07/2026;100,840608;100,867500;100,839691;100,867500;260.783,27;2.586,00000000
DOLINDEX;03/07/2026;100,973097;100,992591;100,606649;100,840608;1.505.577,47;14.936,00000000
DOLINDEX;02/07/2026;101,406449;101,432420;100,558597;100,973835;1.627.009,80;16.103,00000000
DOLINDEX;01/07/2026;101,240830;101,595346;101,188087;101,405613;1.636.497,25;16.146,00000000
DOLINDEX;30/06/2026;101,151357;101,432240;101,050245;101,241819;1.637.812,86;16.174,00000000
DOLINDEX;29/06/2026;101,363857;101,393074;101,068328;101,145752;1.633.183,70;16.135,00000000
DOLINDEX;28/06/2026;101,338679;101,392556;101,287950;101,365692;468.752,38;4.625,00000000
DOLINDEX;27/06/2026;101,325591;101,342838;101,320622;101,338679;270.771,22;2.672,00000000
DOLINDEX;26/06/2026;101,511674;101,568607;101,048502;101,325591;1.503.753,02;14.841,00000000
DOLINDEX;25/06/2026;101,606126;101,745602;101,304447;101,511485;1.625.646,53;16.016,00000000
DOLINDEX;24/06/2026;101,391091;101,800966;101,368192;101,605427;1.638.368,35;16.130,00000000
DOLINDEX;23/06/2026;101,018767;101,432436;100,948079;101,391880;1.636.692,06;16.169,00000000
DOLINDEX;22/06/2026;100,851077;101,076074;100,760086;101,015101;1.638.026,86;16.229,00000000
DOLINDEX;21/06/2026;100,748471;100,908690;100,703647;100,852688;482.686,22;4.789,00000000
DOLINDEX;20/06/2026;100,725666;100,752493;100,717983;100,748471;263.236,62;2.613,00000000
DOLINDEX;19/06/2026;100,826638;101,125969;100,688131;100,725666;1.515.947,47;15.036,00000000
DOLINDEX;18/06/2026;100,349838;100,919928;100,202975;100,828397;1.626.725,87;16.175,00000000
DOLINDEX;17/06/2026;99,549756;100,573980;99,490577;100,351093;1.612.486,47;16.162,00000000
DOLINDEX;16/06/2026;99,655704;99,792644;99,459588;99,550518;1.598.542,18;16.047,00000000
DOLINDEX;15/06/2026;99,513803;99,714394;99,384257;99,652970;1.596.542,36;16.037,00000000
DOLINDEX;14/06/2026;99,815066;99,866599;99,421681;99,515088;449.037,28;4.504,00000000
DOLINDEX;13/06/2026;99,788741;99,817320;99,787217;99,815066;259.684,68;2.602,00000000
DOLINDEX;12/06/2026;99,729723;99,908701;99,630538;99,789012;1.479.313,89;14.827,00000000
DOLINDEX;11/06/2026;100,053677;100,313428;99,592758;99,733971;1.601.637,53;16.021,00000000
DOLINDEX;10/06/2026;100,017870;100,120782;99,716597;100,053586;1.600.622,54;16.016,00000000
DOLINDEX;09/06/2026;100,051120;100,077538;99,677081;100,015486;1.605.213,87;16.068,00000000
DOLINDEX;08/06/2026;100,086808;100,213899;99,819543;100,049075;1.612.860,98;16.126,00000000
DOLINDEX;07/06/2026;100,052504;100,174616;100,012817;100,084942;472.695,22;4.723,00000000
DOLINDEX;06/06/2026;100,062593;100,062708;100,050242;100,052504;261.445,13;2.613,00000000
DOLINDEX;05/06/2026;99,432440;100,109079;99,163310;100,062593;1.469.304,73;14.752,00000000
DOLINDEX;04/06/2026;99,447420;99,533215;99,177409;99,433023;1.588.920,74;15.987,00000000
DOLINDEX;03/06/2026;99,296948;99,557512;99,188524;99,445631;1.590.268,80;16.000,00000000
DOLINDEX;02/06/2026;99,172252;99,328280;99,043966;99,296015;1.593.921,31;16.073,00000000
DOLINDEX;01/06/2026;99,015198;99,385053;98,919961;99,171166;1.594.518,63;16.088,00000000
DOLINDEX;31/05/2026;98,932550;99,014807;98,921580;99,014023;453.334,94;4.581,00000000
DOLINDEX;30/05/2026;98,935215;98,943938;98,925739;98,932550;259.006,59;2.618,00000000
DOLINDEX;29/05/2026;98,995611;99,185727;98,752683;98,935215;1.474.392,86;14.893,00000000
DOLINDEX;28/05/2026;99,298658;99,544454;98,946476;98,988958;1.561.761,70;15.743,00000000
DOLINDEX;27/05/2026;99,103196;99,305368;98,969453;99,297455;1.590.166,61;16.040,00000000
DOLINDEX;26/05/2026;99,042333;99,251355;99,011211;99,102844;1.590.921,21;16.052,00000000
DOLINDEX;25/05/2026;99,021998;99,107004;98,914589;99,036130;1.596.823,63;16.130,00000000
DOLINDEX;24/05/2026;99,315352;99,315352;98,977229;99,022789;466.544,00;4.705,00000000
DOLINDEX;23/05/2026;99,291636;99,317213;99,289352;99,315352;256.316,33;2.581,00000000
DOLINDEX;22/05/2026;99,193771;99,412715;99,174457;99,290429;1.487.100,07;14.979,00000000
DOLINDEX;21/05/2026;99,138774;99,514439;99,065075;99,195635;1.598.777,29;16.112,00000000
DOLINDEX;20/05/2026;99,308759;99,471549;98,970321;99,140568;1.599.513,94;16.113,00000000
DOLINDEX;19/05/2026;98,988829;99,433941;98,980985;99,308788;1.592.454,75;16.049,00000000
DOLINDEX;18/05/2026;99,355383;99,409402;98,936024;98,990043;1.591.490,47;16.052,00000000
