# ccmfut_seed_2008_2026.csv — Histórico contínuo CCMFUT (Profit/Genial)
# Data de corte: 17/09/2026 | Origem: export manual do Profit, CCMFUT contínuo
# Entrada fixa read-only para viabilizar SMA(100) em contratos com histórico curto
Data,Open,High,Low,Close
2008-09-19,36.84,36.84,36.84,36.84
2008-09-22,36.84,36.84,36.84,36.84
2008-09-26,36.92,36.92,36.92,36.92
2008-09-30,36.7,36.7,36.7,36.7
2008-10-02,36.84,36.84,36.84,36.84
2008-10-03,35.23,35.23,35.23,35.23
2008-10-06,34.06,34.06,34.06,34.06
2008-10-07,34.06,34.06,33.32,33.34
2008-10-08,33.34,33.62,33.03,33.03
2008-10-09,33.32,33.32,33.32,33.32
2008-10-10,31.66,31.66,31.66,31.66
2008-10-13,33.04,33.04,33.04,33.04
2008-10-14,32.73,32.73,32.29,32.29
2008-10-16,32.0,32.0,32.0,32.0
2008-10-17,31.85,31.85,31.85,31.85
2008-10-20,32.0,32.0,32.0,32.0
2008-10-21,31.63,31.63,31.63,31.63
2008-10-22,30.83,30.83,30.83,30.83
2008-10-23,30.39,30.39,30.39,30.39
2008-10-24,30.09,30.09,29.73,29.73
2008-10-27,30.09,30.09,28.92,28.92
2008-10-28,29.36,29.36,29.36,29.36
2008-10-29,29.36,29.36,29.36,29.36
2008-10-30,30.24,30.24,29.21,29.21
2008-10-31,30.09,30.09,29.73,29.73
2008-11-03,29.8,29.8,29.8,29.8
2008-11-04,30.83,30.83,29.95,30.39
2008-11-05,29.65,29.65,29.65,29.65
2008-11-06,29.06,29.06,29.06,29.06
2008-11-07,29.95,29.95,28.92,28.92
2008-11-10,29.06,29.51,29.06,29.51
2008-11-11,29.74,30.24,29.74,30.24
2008-11-12,29.43,30.09,29.43,29.8
2008-11-13,29.83,30.09,29.83,30.09
2008-11-14,29.96,29.96,29.96,29.96
2008-11-17,30.24,30.68,30.24,30.68
2008-11-18,30.61,31.12,30.61,31.12
2008-11-19,30.83,31.05,30.83,31.05
2008-11-21,30.09,30.09,30.09,30.09
2008-11-24,30.53,30.68,30.53,30.68
2008-11-25,30.83,30.97,30.83,30.97
2008-11-26,30.97,30.97,30.83,30.83
2008-11-27,30.83,30.83,30.4,30.69
2008-11-28,31.05,31.05,30.84,30.84
2008-12-01,31.05,31.05,30.97,30.97
2008-12-02,30.83,30.83,30.83,30.83
2008-12-03,30.83,30.83,30.53,30.53
2008-12-04,30.83,30.9,30.53,30.9
2008-12-05,30.97,31.49,30.97,31.49
2008-12-08,31.93,31.93,31.19,31.19
2008-12-09,31.65,31.65,31.65,31.65
2008-12-10,31.93,31.94,31.93,31.94
2008-12-11,32.0,32.0,31.53,31.56
2008-12-12,31.71,31.71,31.58,31.58
2008-12-15,31.85,32.88,31.85,32.73
2008-12-16,33.03,33.29,32.73,33.29
2008-12-17,33.32,34.09,33.32,34.09
2008-12-18,33.76,34.28,33.76,34.28
2008-12-19,34.28,34.28,32.59,32.59
2008-12-22,33.62,33.62,33.62,33.62
2008-12-23,34.2,34.2,33.91,34.2
2008-12-26,34.22,34.67,34.22,34.67
2008-12-29,36.11,36.11,36.11,36.11
2008-12-30,36.48,36.48,35.23,35.23
2009-01-05,35.38,35.82,35.38,35.82
2009-01-06,35.6,36.55,35.6,36.55
2009-01-07,36.84,37.43,36.84,37.36
2009-01-08,37.36,37.36,36.55,36.84
2009-01-09,36.84,36.84,36.7,36.7
2009-01-12,36.99,36.99,35.96,35.96
2009-01-13,35.67,35.67,34.79,34.94
2009-01-14,34.79,35.08,34.79,35.08
2009-01-15,35.01,35.38,35.01,35.38
2009-01-16,35.23,35.23,35.16,35.16
2009-01-19,35.38,35.52,35.38,35.52
2009-01-20,35.23,35.23,35.23,35.23
2009-01-21,35.23,35.23,34.95,34.95
2009-01-22,34.94,34.94,34.86,34.86
2009-01-26,34.8,34.8,34.8,34.8
2009-01-27,34.86,34.86,34.86,34.86
2009-01-28,34.64,34.64,34.09,34.2
2009-01-30,33.76,34.2,33.76,34.2
2009-02-02,33.62,34.35,33.47,34.35
2009-02-03,34.2,34.2,34.2,34.2
2009-02-04,34.2,34.2,33.76,33.91
2009-02-05,33.76,33.76,33.62,33.69
2009-02-06,33.76,33.84,33.76,33.84
2009-02-09,33.54,33.54,33.47,33.47
2009-02-10,33.32,33.32,33.03,33.03
2009-02-11,32.29,32.88,32.29,32.73
2009-02-12,32.29,32.44,32.29,32.44
2009-02-13,32.44,32.44,32.15,32.15
2009-02-16,32.44,32.44,32.16,32.22
2009-02-17,31.78,31.78,31.71,31.71
2009-02-18,31.56,31.56,31.41,31.49
