Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DI1F29;21/08/2026;14,235;14,245;14,135;14,170;24.771.502.528,77;337.757
DI1F29;20/08/2026;14,260;14,310;14,240;14,275;25.056.256.754,44;342.459
DI1F29;19/08/2026;14,320;14,325;14,165;14,195;29.967.605.255,67;409.291
DI1F29;18/08/2026;14,325;14,405;14,245;14,315;26.125.972.704,10;357.652
DI1F29;17/08/2026;14,350;14,410;14,265;14,310;19.475.774.206,90;266.897
DI1F29;14/08/2026;14,245;14,540;14,200;14,330;47.151.101.624,58;647.100
DI1F29;13/08/2026;14,250;14,285;14,140;14,245;23.351.200.181,01;319.558
DI1F29;12/08/2026;14,165;14,255;14,105;14,250;18.592.282.034,32;254.540
DI1F29;11/08/2026;14,120;14,220;14,055;14,180;21.500.022.894,13;294.163
DI1F29;10/08/2026;14,035;14,115;14,015;14,100;15.518.542.990,40;212.176
DI1F29;07/08/2026;14,095;14,105;13,990;14,035;26.907.270.759,19;367.631
DI1F29;06/08/2026;13,965;14,140;13,965;14,120;25.840.788.873,92;353.783
DI1F29;05/08/2026;13,995;14,040;13,910;14,015;24.397.114.489,43;333.360
DI1F29;04/08/2026;13,890;14,085;13,880;14,020;33.284.123.333,45;454.890
DI1F29;03/08/2026;14,020;14,045;13,965;13,980;27.672.327.646,96;378.606
DI1F29;31/07/2026;14,115;14,190;14,070;14,130;12.406.433.077,62;170.331
DI1F29;30/07/2026;14,225;14,245;14,070;14,080;31.841.084.640,67;437.244
DI1F29;29/07/2026;14,280;14,350;14,175;14,250;35.397.303.945,27;487.777
DI1F29;28/07/2026;14,200;14,265;14,130;14,250;33.332.682.860,57;458.922
DI1F29;27/07/2026;14,315;14,390;14,290;14,310;21.459.319.602,09;296.516
DI1F29;24/07/2026;14,645;14,645;14,410;14,455;25.173.315.984,30;349.327
DI1F29;23/07/2026;14,530;14,745;14,530;14,705;28.984.684.584,60;403.478
DI1F29;22/07/2026;14,470;14,520;14,380;14,490;16.900.920.368,84;234.492
DI1F29;21/07/2026;14,355;14,415;14,305;14,410;13.118.964.610,93;181.763
DI1F29;20/07/2026;14,350;14,410;14,225;14,355;20.488.181.379,88;283.803
DI1F29;17/07/2026;14,100;14,355;14,095;14,335;22.616.276.329,47;312.803
DI1F29;16/07/2026;14,020;14,150;13,995;14,095;25.788.206.839,18;355.817
DI1F29;15/07/2026;14,030;14,095;14,000;14,025;15.087.408.163,76;208.071
DI1F29;14/07/2026;14,205;14,275;14,020;14,020;28.378.510.233,86;391.913
DI1F29;13/07/2026;14,000;14,260;14,000;14,230;24.117.202.542,08;333.581
DI1F29;10/07/2026;14,250;14,250;13,960;13,980;30.778.201.490,41;424.744
DI1F29;09/07/2026;14,380;14,380;14,205;14,205;23.107.584.143,11;320.803
DI1F29;08/07/2026;14,350;14,410;14,295;14,380;28.342.622.121,94;394.453
DI1F29;07/07/2026;14,145;14,310;14,135;14,275;20.965.928.843,04;291.194
DI1F29;06/07/2026;14,230;14,265;14,180;14,180;15.351.757.259,50;213.195
DI1F29;03/07/2026;14,360;14,365;14,250;14,250;10.509.550.899,62;146.262
DI1F29;02/07/2026;14,230;14,475;14,155;14,385;57.525.501.175,43;801.819
DI1F29;01/07/2026;14,120;14,290;14,085;14,230;27.883.133.474,62;387.822
DI1F29;30/06/2026;14,200;14,280;14,055;14,115;36.264.404.036,33;504.216
DI1F29;29/06/2026;14,200;14,290;14,155;14,190;19.619.253.534,75;273.171
DI1F29;26/06/2026;14,330;14,330;14,185;14,255;26.252.860.998,07;366.071
DI1F29;25/06/2026;14,340;14,385;14,195;14,330;45.944.877.546,14;641.347
DI1F29;24/06/2026;14,625;14,645;14,355;14,355;39.224.670.713,99;550.179
DI1F29;23/06/2026;14,845;14,870;14,625;14,630;38.364.900.217,82;541.166
DI1F29;22/06/2026;14,920;14,950;14,740;14,755;23.296.222.510,65;329.510
DI1F29;19/06/2026;14,780;14,985;14,775;14,940;20.381.051.326,40;288.959
DI1F29;18/06/2026;14,820;14,890;14,635;14,765;49.769.469.252,52;704.311
DI1F29;17/06/2026;14,430;14,765;14,380;14,685;45.320.961.022,08;638.113
DI1F29;16/06/2026;14,290;14,410;14,185;14,405;34.281.474.958,42;480.679
DI1F29;15/06/2026;14,375;14,395;14,245;14,330;31.688.385.166,04;444.468
DI1F29;12/06/2026;14,500;14,620;14,365;14,455;37.021.727.659,64;521.789
DI1F29;11/06/2026;14,920;14,950;14,470;14,505;51.820.753.935,80;733.533
DI1F29;10/06/2026;15,030;15,060;14,900;14,940;35.154.719.529,03;501.338
DI1F29;09/06/2026;14,905;14,990;14,775;14,920;37.744.324.877,19;537.232
DI1F29;08/06/2026;14,795;14,975;14,615;14,945;56.880.985.814,56;808.965
DI1F29;05/06/2026;14,380;14,820;14,305;14,810;59.849.878.262,12;848.126
DI1F29;03/06/2026;14,070;14,460;14,050;14,375;62.902.069.471,13;885.466
DI1F29;02/06/2026;14,040;14,080;13,970;14,015;27.797.651.607,05;389.266
DI1F29;01/06/2026;13,900;14,060;13,865;14,060;35.876.498.476,87;501.699
DI1F29;29/05/2026;13,880;13,940;13,825;13,860;28.313.035.511,33;395.446
DI1F29;28/05/2026;13,850;13,925;13,760;13,885;33.957.681.128,76;474.183
DI1F29;27/05/2026;13,780;13,840;13,715;13,830;31.021.945.698,22;432.723
DI1F29;26/05/2026;13,725;13,830;13,725;13,815;20.621.758.769,11;287.921
DI1F29;25/05/2026;13,710;13,740;13,645;13,710;21.651.752.752,83;301.759
DI1F29;22/05/2026;13,850;13,960;13,820;13,895;26.063.217.094,43;365.025
DI1F29;21/05/2026;13,955;14,105;13,795;13,845;44.726.036.843,61;627.340
DI1F29;20/05/2026;14,075;14,130;13,890;13,955;34.671.649.254,48;487.379
DI1F29;19/05/2026;14,045;14,145;14,015;14,115;29.256.632.105,74;412.422
DI1F29;18/05/2026;14,100;14,145;13,995;13,995;27.566.198.515,78;388.388
DI1F29;15/05/2026;14,050;14,180;14,050;14,165;35.261.263.225,92;497.849
DI1F29;14/05/2026;14,045;14,095;13,915;13,990;36.252.706.254,26;510.295
DI1F29;13/05/2026;13,775;14,105;13,750;14,050;63.634.014.676,59;896.281
DI1F29;12/05/2026;13,725;13,815;13,720;13,750;18.833.749.700,44;264.223
DI1F29;11/05/2026;13,575;13,700;13,575;13,695;31.577.035.349,57;442.083
