Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;21/08/2026;5.177,000;5.194,500;5.142,500;5.150,000;108.218.192.205,00;2.093.194
WDOFUT;20/08/2026;5.200,000;5.214,500;5.190,000;5.207,000;88.849.244.580,00;1.707.673
WDOFUT;19/08/2026;5.221,500;5.225,000;5.170,000;5.193,000;113.985.293.370,00;2.197.188
WDOFUT;18/08/2026;5.224,000;5.239,000;5.206,000;5.230,000;96.410.345.735,00;1.845.463
WDOFUT;17/08/2026;5.233,500;5.240,000;5.198,500;5.222,000;98.809.013.660,00;1.893.774
WDOFUT;14/08/2026;5.192,500;5.268,500;5.192,000;5.234,000;142.325.377.105,00;2.717.401
WDOFUT;13/08/2026;5.208,500;5.221,000;5.197,000;5.204,000;103.126.437.865,00;1.979.723
WDOFUT;12/08/2026;5.174,000;5.216,000;5.159,000;5.214,000;118.763.773.100,00;2.289.925
WDOFUT;11/08/2026;5.130,000;5.202,500;5.122,500;5.183,500;130.417.811.500,00;2.524.037
WDOFUT;10/08/2026;5.110,000;5.147,000;5.109,500;5.133,000;70.345.179.460,00;1.371.679
WDOFUT;07/08/2026;5.129,500;5.132,500;5.102,500;5.110,000;88.815.608.290,00;1.736.000
WDOFUT;06/08/2026;5.152,000;5.158,500;5.121,000;5.142,000;80.693.965.990,00;1.571.420
WDOFUT;05/08/2026;5.147,000;5.166,000;5.130,000;5.152,000;88.024.579.520,00;1.708.986
WDOFUT;04/08/2026;5.108,500;5.181,500;5.105,000;5.157,000;109.970.917.170,00;2.137.274
WDOFUT;03/08/2026;5.107,000;5.127,000;5.087,000;5.123,500;76.740.683.465,00;1.501.884
WDOFUT;31/07/2026;5.115,000;5.119,500;5.101,000;5.117,000;45.052.894.840,00;881.706
WDOFUT;30/07/2026;5.143,280;5.144,791;5.095,447;5.103,000;102.722.526.825,16;2.008.493
WDOFUT;29/07/2026;5.164,427;5.180,539;5.127,168;5.156,875;146.563.789.865,24;2.842.466
WDOFUT;28/07/2026;5.158,385;5.170,973;5.149,826;5.167,448;84.662.209.930,54;1.640.943
WDOFUT;27/07/2026;5.120,623;5.162,413;5.117,602;5.154,357;87.875.966.158,23;1.708.640
WDOFUT;24/07/2026;5.121,126;5.136,735;5.093,433;5.135,224;104.102.663.178,89;2.034.375
WDOFUT;23/07/2026;5.122,637;5.139,252;5.115,084;5.127,168;96.643.280.197,92;1.884.340
WDOFUT;22/07/2026;5.125,658;5.131,700;5.094,944;5.105,518;91.260.442.608,96;1.785.855
WDOFUT;21/07/2026;5.130,693;5.135,728;5.115,588;5.122,133;83.416.809.553,52;1.627.800
WDOFUT;20/07/2026;5.157,882;5.166,945;5.132,707;5.142,273;90.987.533.710,77;1.769.053
WDOFUT;17/07/2026;5.168,959;5.187,085;5.158,385;5.163,924;93.263.702.108,58;1.803.962
WDOFUT;16/07/2026;5.150,833;5.169,966;5.135,224;5.157,378;83.132.570.217,97;1.612.957
WDOFUT;15/07/2026;5.132,707;5.144,287;5.113,070;5.133,714;103.788.218.327,86;2.022.774
WDOFUT;14/07/2026;5.186,078;5.186,581;5.122,133;5.131,700;120.840.619.558,50;2.351.283
WDOFUT;13/07/2026;5.173,490;5.201,687;5.169,462;5.196,148;107.560.069.092,44;2.073.952
WDOFUT;10/07/2026;5.179,029;5.190,106;5.160,903;5.173,490;100.037.847.225,69;1.933.572
WDOFUT;09/07/2026;5.215,281;5.221,323;5.172,483;5.178,022;79.865.058.877,50;1.537.138
WDOFUT;08/07/2026;5.245,995;5.252,037;5.202,190;5.216,792;116.193.901.441,09;2.226.644
WDOFUT;07/07/2026;5.201,183;5.238,946;5.197,659;5.228,372;92.883.832.724,22;1.781.185
WDOFUT;06/07/2026;5.244,484;5.255,058;5.193,630;5.194,134;100.007.618.775,66;1.913.404
WDOFUT;03/07/2026;5.272,177;5.274,191;5.237,435;5.242,470;64.370.748.454,94;1.226.310
WDOFUT;02/07/2026;5.271,170;5.294,835;5.232,904;5.281,743;136.905.550.094,52;2.598.579
WDOFUT;01/07/2026;5.244,484;5.293,324;5.242,470;5.278,219;120.588.776.846,29;2.287.447
WDOFUT;30/06/2026;5.248,009;5.278,219;5.233,407;5.235,421;118.130.241.452,43;2.248.824
WDOFUT;29/06/2026;5.240,882;5.261,164;5.227,698;5.252,037;88.490.058.827,94;1.686.197
WDOFUT;26/06/2026;5.264,206;5.265,727;5.232,769;5.252,544;105.383.290.696,99;2.008.161
WDOFUT;25/06/2026;5.279,418;5.298,686;5.245,445;5.257,107;127.023.560.971,14;2.410.044
WDOFUT;24/06/2026;5.273,840;5.303,249;5.267,248;5.267,248;119.100.289.735,24;2.253.244
WDOFUT;23/06/2026;5.259,643;5.274,854;5.243,924;5.265,220;103.670.488.869,25;1.970.504
WDOFUT;22/06/2026;5.239,361;5.244,431;5.206,909;5.226,684;96.894.825.962,28;1.853.880
WDOFUT;19/06/2026;5.244,938;5.255,079;5.217,557;5.238,346;78.193.396.643,02;1.494.114
WDOFUT;18/06/2026;5.221,614;5.276,882;5.213,501;5.248,487;142.523.540.832,69;2.717.089
WDOFUT;17/06/2026;5.185,106;5.216,543;5.137,443;5.193,726;159.575.814.096,30;3.087.740
WDOFUT;16/06/2026;5.137,950;5.193,219;5.135,415;5.178,007;116.066.109.476,04;2.245.388
WDOFUT;15/06/2026;5.126,795;5.165,331;5.117,161;5.144,542;113.996.875.417,37;2.217.406
WDOFUT;12/06/2026;5.190,177;5.213,501;5.150,627;5.154,683;120.829.632.695,19;2.335.134
WDOFUT;11/06/2026;5.269,784;5.279,925;5.187,134;5.199,303;159.146.687.408,86;3.040.250
WDOFUT;10/06/2026;5.291,080;5.296,657;5.257,107;5.281,446;139.468.822.351,23;2.644.083
WDOFUT;09/06/2026;5.268,262;5.295,136;5.250,516;5.277,389;132.033.722.297,77;2.504.609
WDOFUT;08/06/2026;5.253,051;5.306,291;5.234,797;5.297,164;163.717.927.567,30;3.105.382
WDOFUT;05/06/2026;5.160,768;5.281,446;5.156,711;5.276,882;165.423.740.144,88;3.163.720
WDOFUT;03/06/2026;5.118,175;5.196,261;5.115,640;5.164,824;139.199.676.472,20;2.698.478
WDOFUT;02/06/2026;5.120,711;5.128,316;5.104,992;5.112,091;99.904.932.259,89;1.951.961
WDOFUT;01/06/2026;5.140,486;5.153,162;5.118,175;5.132,880;123.945.860.655,64;2.413.391
WDOFUT;29/05/2026;5.145,049;5.179,528;5.137,950;5.145,049;125.673.533.682,88;2.435.619
WDOFUT;28/05/2026;5.180,235;5.187,387;5.133,751;5.153,162;113.583.035.141,70;2.201.941
WDOFUT;27/05/2026;5.148,054;5.183,811;5.142,435;5.173,084;127.982.010.655,31;2.476.900
WDOFUT;26/05/2026;5.135,794;5.152,140;5.116,383;5.147,543;107.132.765.363,39;2.085.983
WDOFUT;25/05/2026;5.131,197;5.136,305;5.108,210;5.125,067;71.853.488.503,08;1.402.554
WDOFUT;22/05/2026;5.130,686;5.161,335;5.111,785;5.160,824;102.740.477.252,67;2.001.829
WDOFUT;21/05/2026;5.136,305;5.143,456;5.100,036;5.124,045;109.825.689.495,91;2.143.362
WDOFUT;20/05/2026;5.151,119;5.179,724;5.112,296;5.116,894;138.808.765.470,52;2.697.694
WDOFUT;19/05/2026;5.146,010;5.182,789;5.132,218;5.168,997;142.497.801.619,64;2.761.508
WDOFUT;18/05/2026;5.182,279;5.182,279;5.109,742;5.115,361;120.979.267.359,93;2.354.028
WDOFUT;15/05/2026;5.150,097;5.211,906;5.146,010;5.184,322;166.174.236.383,88;3.203.087
WDOFUT;14/05/2026;5.134,772;5.160,313;5.100,547;5.115,361;136.718.826.128,73;2.673.181
WDOFUT;13/05/2026;5.020,859;5.149,075;5.019,327;5.136,816;174.277.464.712,76;3.431.738
WDOFUT;12/05/2026;5.032,097;5.045,889;5.017,794;5.020,348;93.077.912.739,12;1.851.041
WDOFUT;11/05/2026;5.031,586;5.036,184;5.016,262;5.018,816;83.924.527.163,53;1.669.621
WDOFUT;08/05/2026;5.046,400;5.048,954;5.020,348;5.021,370;86.299.378.446,76;1.715.311
WDOFUT;07/05/2026;5.039,249;5.067,344;5.030,565;5.066,833;111.919.462.937,20;2.215.550
WDOFUT;06/05/2026;5.021,370;5.071,941;5.020,348;5.057,127;121.898.018.714,86;2.410.262
WDOFUT;05/05/2026;5.088,288;5.092,885;5.044,357;5.046,400;105.146.861.268,35;2.076.674
WDOFUT;04/05/2026;5.104,634;5.125,577;5.089,309;5.106,677;114.659.330.545,07;2.246.270
WDOFUT;30/04/2026;5.138,859;5.144,478;5.082,669;5.087,777;132.158.676.888,05;2.579.955
WDOFUT;29/04/2026;5.126,979;5.162,483;5.125,436;5.144,989;126.558.276.783,64;2.458.803
WDOFUT;28/04/2026;5.144,989;5.165,056;5.119,776;5.121,319;132.544.039.677,06;2.579.088
WDOFUT;27/04/2026;5.133,154;5.134,183;5.113,087;5.131,610;100.976.459.188,16;1.971.374
WDOFUT;24/04/2026;5.159,911;5.178,949;5.129,552;5.141,901;128.120.539.026,09;2.483.314
WDOFUT;23/04/2026;5.118,232;5.187,696;5.091,475;5.187,696;188.908.293.574,77;3.688.198
WDOFUT;22/04/2026;5.122,863;5.143,960;5.107,427;5.119,261;113.937.093.019,53;2.224.436
WDOFUT;20/04/2026;5.135,212;5.145,503;5.104,854;5.107,427;80.134.757.581,27;1.560.438
WDOFUT;17/04/2026;5.144,989;5.150,134;5.106,912;5.135,212;159.850.393.898,54;3.116.110
WDOFUT;16/04/2026;5.155,794;5.174,833;5.144,474;5.151,678;112.325.836.602,32;2.177.785
WDOFUT;15/04/2026;5.155,794;5.162,998;5.144,474;5.151,678;94.132.452.897,27;1.826.576
WDOFUT;14/04/2026;5.136,756;5.158,882;5.133,154;5.147,561;118.689.075.475,02;2.306.938
WDOFUT;13/04/2026;5.195,415;5.207,764;5.147,561;5.163,512;148.093.332.027,49;2.858.558
WDOFUT;10/04/2026;5.235,550;5.237,608;5.168,143;5.180,493;153.898.486.898,41;2.964.064
WDOFUT;09/04/2026;5.270,539;5.279,286;5.226,802;5.229,889;138.717.687.878,20;2.642.483
WDOFUT;08/04/2026;5.266,423;5.293,179;5.236,579;5.273,626;180.493.785.511,09;3.427.611
WDOFUT;07/04/2026;5.320,450;5.350,809;5.312,218;5.327,654;117.416.214.338,08;2.200.331
WDOFUT;06/04/2026;5.327,139;5.338,974;5.317,363;5.318,392;94.174.656.623,45;1.767.053
WDOFUT;02/04/2026;5.371,905;5.377,565;5.319,421;5.340,518;130.900.188.205,23;2.448.711
WDOFUT;01/04/2026;5.338,974;5.361,100;5.330,227;5.336,916;144.398.969.528,86;2.702.608
WDOFUT;31/03/2026;5.413,069;5.422,846;5.359,556;5.362,643;175.156.116.094,38;3.247.598
WDOFUT;30/03/2026;5.416,025;5.452,766;5.407,227;5.439,311;134.496.951.389,62;2.477.943
WDOFUT;27/03/2026;5.453,284;5.467,773;5.402,570;5.424,822;148.740.707.027,88;2.738.802
WDOFUT;26/03/2026;5.440,346;5.453,284;5.406,192;5.425,339;147.957.262.904,34;2.725.960
WDOFUT;25/03/2026;5.402,570;5.438,276;5.392,220;5.416,542;156.107.176.499,01;2.883.727
WDOFUT;24/03/2026;5.446,556;5.472,948;5.403,087;5.426,374;197.975.321.595,08;3.631.319
WDOFUT;23/03/2026;5.487,438;5.511,242;5.407,227;5.425,339;207.798.051.302,94;3.816.269
WDOFUT;20/03/2026;5.445,004;5.524,697;5.429,479;5.475,536;208.225.853.092,30;3.795.776
WDOFUT;19/03/2026;5.439,829;5.516,417;5.397,912;5.422,752;223.350.681.689,84;4.092.678
WDOFUT;18/03/2026;5.391,703;5.474,501;5.381,353;5.445,521;176.983.473.931,49;3.268.078
WDOFUT;17/03/2026;5.436,724;5.445,004;5.377,213;5.396,877;160.573.573.547,34;2.972.020
WDOFUT;16/03/2026;5.490,025;5.492,095;5.429,479;5.436,207;147.084.108.829,09;2.692.466
WDOFUT;13/03/2026;5.446,039;5.545,914;5.420,682;5.541,257;207.215.834.116,14;3.784.839
WDOFUT;12/03/2026;5.369,968;5.471,913;5.361,688;5.465,703;209.171.569.662,72;3.863.165
WDOFUT;11/03/2026;5.374,108;5.390,150;5.352,374;5.361,688;147.196.644.752,24;2.742.134
WDOFUT;10/03/2026;5.366,346;5.397,912;5.338,919;5.372,556;175.263.459.570,93;3.264.368
WDOFUT;09/03/2026;5.498,305;5.503,480;5.359,101;5.378,765;207.431.716.165,26;3.822.645
WDOFUT;06/03/2026;5.536,082;5.541,774;5.446,039;5.473,983;236.883.345.263,43;4.309.081
WDOFUT;05/03/2026;5.464,668;5.515,382;5.446,039;5.486,920;239.089.249.093,96;4.363.374
WDOFUT;04/03/2026;5.475,018;5.480,193;5.412,402;5.452,249;186.309.458.051,99;3.425.284
WDOFUT;03/03/2026;5.461,563;5.571,788;5.454,319;5.505,032;320.398.858.031,31;5.818.791
WDOFUT;02/03/2026;5.369,968;5.439,311;5.359,101;5.397,395;213.343.270.834,56;3.943.373
WDOFUT;27/02/2026;5.361,688;5.394,290;5.337,366;5.351,339;155.337.128.756,36;2.894.110
WDOFUT;26/02/2026;5.355,945;5.392,987;5.345,511;5.362,206;141.125.273.755,72;2.628.611
WDOFUT;25/02/2026;5.367,423;5.397,161;5.343,424;5.350,728;147.598.673.050,10;2.750.721
WDOFUT;24/02/2026;5.403,943;5.415,943;5.371,597;5.385,161;132.577.621.103,04;2.458.032
WDOFUT;23/02/2026;5.417,508;5.423,768;5.368,988;5.404,465;155.710.612.751,16;2.887.048
WDOFUT;20/02/2026;5.449,333;5.460,810;5.404,465;5.411,247;160.621.144.779,80;2.957.696
WDOFUT;19/02/2026;5.488,461;5.495,244;5.448,289;5.449,854;166.818.951.977,59;3.051.692
WDOFUT;18/02/2026;5.444,637;5.491,070;5.431,594;5.477,505;90.752.164.461,14;1.660.346
WDOFUT;13/02/2026;5.461,332;5.493,157;5.444,115;5.458,202;159.836.911.003,89;2.922.785
WDOFUT;12/02/2026;5.419,595;5.463,419;5.395,596;5.456,115;171.817.988.449,71;3.166.540
WDOFUT;11/02/2026;5.430,551;5.447,246;5.410,204;5.424,290;141.923.752.587,72;2.615.482
WDOFUT;10/02/2026;5.440,463;5.458,723;5.427,942;5.436,290;123.259.667.295,18;2.263.631
WDOFUT;09/02/2026;5.457,158;5.460,810;5.420,638;5.443,072;136.833.787.989,53;2.514.486
WDOFUT;06/02/2026;5.497,852;5.507,765;5.455,071;5.468,114;150.028.429.844,10;2.738.976
WDOFUT;05/02/2026;5.505,156;5.544,807;5.488,983;5.528,633;171.781.354.634,84;3.115.354
WDOFUT;04/02/2026;5.496,809;5.521,329;5.469,158;5.496,809;144.550.908.674,53;2.629.791
WDOFUT;03/02/2026;5.504,635;5.522,373;5.462,375;5.495,244;166.464.486.622,79;3.033.885
WDOFUT;02/02/2026;5.527,590;5.542,720;5.495,244;5.521,329;132.195.380.356,85;2.395.475
WDOFUT;30/01/2026;5.467,071;5.542,720;5.454,028;5.520,286;197.249.012.610,35;3.587.574
WDOFUT;29/01/2026;5.459,793;5.514,916;5.425,669;5.455,593;184.606.663.692,67;3.378.264
WDOFUT;28/01/2026;5.451,393;5.489,192;5.432,494;5.456,643;179.153.612.654,31;3.281.264
WDOFUT;27/01/2026;5.545,890;5.547,465;5.438,794;5.442,469;166.587.546.084,94;3.031.890
WDOFUT;26/01/2026;5.553,239;5.562,689;5.531,190;5.553,764;116.830.218.508,79;2.105.939
WDOFUT;23/01/2026;5.563,739;5.580,013;5.546,415;5.564,789;134.992.987.212,28;2.426.247
WDOFUT;22/01/2026;5.593,663;5.603,638;5.555,339;5.562,689;133.153.397.205,47;2.386.111
WDOFUT;21/01/2026;5.652,461;5.654,561;5.592,613;5.599,438;156.148.012.706,27;2.780.057
WDOFUT;20/01/2026;5.663,485;5.694,984;5.641,961;5.661,385;155.054.583.316,64;2.736.964
WDOFUT;19/01/2026;5.666,635;5.669,785;5.630,412;5.656,661;79.516.039.970,06;1.407.501
WDOFUT;16/01/2026;5.654,561;5.683,434;5.650,361;5.656,136;97.395.063.894,14;1.719.545
WDOFUT;15/01/2026;5.682,385;5.694,459;5.640,911;5.655,611;127.605.616.580,33;2.251.502
WDOFUT;14/01/2026;5.662,960;5.718,083;5.648,786;5.689,734;154.739.911.287,94;2.726.651
WDOFUT;13/01/2026;5.667,160;5.689,734;5.657,710;5.665,585;123.169.465.527,95;2.171.388
WDOFUT;12/01/2026;5.657,185;5.683,434;5.645,636;5.671,360;110.026.901.077,35;1.941.708
WDOFUT;09/01/2026;5.699,709;5.699,709;5.650,361;5.671,885;123.365.381.484,17;2.176.564
WDOFUT;08/01/2026;5.694,984;5.699,709;5.676,610;5.688,159;104.360.628.260,97;1.834.116
WDOFUT;07/01/2026;5.672,935;5.705,484;5.670,835;5.691,309;118.680.986.313,01;2.085.241
WDOFUT;06/01/2026;5.721,233;5.724,383;5.667,160;5.679,235;133.564.413.061,24;2.347.666
WDOFUT;05/01/2026;5.727,533;5.763,756;5.702,859;5.721,233;131.727.619.339,90;2.297.509
WDOFUT;02/01/2026;5.782,131;5.783,181;5.724,383;5.728,583;125.542.776.683,51;2.184.871
WDOFUT;30/12/2025;5.883,977;5.888,177;5.788,431;5.794,730;142.541.053.363,69;2.448.079
WDOFUT;29/12/2025;5.868,529;5.911,388;5.865,883;5.897,101;120.689.802.499,25;2.046.905
WDOFUT;26/12/2025;5.873,291;5.894,456;5.844,718;5.868,529;108.438.162.929,61;1.847.215
WDOFUT;23/12/2025;5.914,033;5.929,378;5.844,718;5.850,538;136.471.623.891,36;2.316.234
WDOFUT;22/12/2025;5.861,121;5.941,019;5.846,834;5.924,616;177.098.884.695,75;3.005.288
WDOFUT;19/12/2025;5.857,417;5.884,402;5.828,844;5.878,582;149.336.253.991,40;2.550.784
WDOFUT;18/12/2025;5.840,485;5.896,043;5.834,665;5.856,888;181.413.725.151,82;3.095.246
WDOFUT;17/12/2025;5.837,310;5.868,000;5.818,791;5.856,888;180.071.225.478,98;3.080.919
WDOFUT;16/12/2025;5.755,296;5.863,237;5.748,946;5.850,538;186.829.855.795,89;3.228.804
WDOFUT;15/12/2025;5.735,718;5.761,116;5.713,495;5.750,005;129.232.410.420,85;2.252.604
WDOFUT;12/12/2025;5.745,772;5.763,233;5.713,495;5.749,475;157.440.505.883,87;2.742.931
WDOFUT;11/12/2025;5.819,849;5.820,378;5.733,073;5.747,888;155.339.503.013,21;2.695.334
WDOFUT;10/12/2025;5.766,937;5.836,252;5.759,529;5.817,203;160.766.615.917,30;2.768.373
WDOFUT;09/12/2025;5.766,407;5.843,660;5.763,233;5.777,519;191.351.215.621,17;3.300.957
WDOFUT;08/12/2025;5.769,053;5.815,087;5.729,369;5.775,403;194.226.879.556,98;3.366.409
WDOFUT;05/12/2025;5.637,830;5.835,723;5.636,243;5.784,398;280.431.460.181,98;4.891.361
WDOFUT;04/12/2025;5.646,825;5.658,466;5.628,306;5.652,116;119.451.282.539,42;2.116.923
WDOFUT;03/12/2025;5.661,641;5.667,461;5.640,476;5.652,646;122.166.913.075,31;2.160.841
WDOFUT;02/12/2025;5.701,854;5.710,849;5.672,223;5.673,811;116.716.608.847,72;2.051.098
WDOFUT;01/12/2025;5.684,393;5.714,553;5.674,340;5.699,738;120.987.102.593,36;2.124.629
WDOFUT;28/11/2025;5.701,854;5.710,320;5.673,811;5.684,393;117.280.920.750,67;2.061.537
WDOFUT;27/11/2025;5.688,503;5.710,341;5.678,383;5.707,145;73.766.303.211,01;1.294.297
WDOFUT;26/11/2025;5.736,440;5.744,430;5.679,449;5.683,710;135.898.625.556,90;2.378.873
WDOFUT;25/11/2025;5.743,897;5.768,931;5.708,211;5.736,440;170.054.030.495,70;2.964.495
WDOFUT;24/11/2025;5.760,941;5.768,398;5.738,038;5.746,560;124.186.228.513,81;2.158.377
WDOFUT;21/11/2025;5.712,472;5.798,225;5.710,341;5.769,996;176.643.984.654,78;3.069.380
WDOFUT;19/11/2025;5.684,775;5.709,276;5.680,514;5.686,905;115.617.344.927,07;2.029.863
WDOFUT;18/11/2025;5.700,221;5.708,211;5.675,720;5.687,971;122.412.319.227,68;2.151.036
WDOFUT;17/11/2025;5.664,002;5.697,558;5.654,948;5.692,764;115.610.270.250,55;2.037.333
WDOFUT;14/11/2025;5.672,524;5.681,579;5.634,175;5.659,741;145.874.900.720,43;2.577.801
WDOFUT;13/11/2025;5.647,491;5.671,992;5.637,371;5.656,013;138.914.642.284,87;2.457.624
WDOFUT;12/11/2025;5.644,295;5.669,861;5.630,979;5.659,741;105.354.379.167,40;1.863.429
WDOFUT;11/11/2025;5.660,274;5.668,796;5.630,979;5.641,099;131.421.145.844,35;2.327.778
WDOFUT;10/11/2025;5.688,503;5.695,960;5.654,948;5.661,339;121.478.289.588,50;2.137.536
WDOFUT;07/11/2025;5.726,853;5.742,299;5.701,286;5.703,950;128.644.487.567,28;2.247.343
WDOFUT;06/11/2025;5.731,114;5.744,962;5.709,276;5.729,516;140.174.406.398,91;2.447.599
WDOFUT;05/11/2025;5.787,573;5.790,236;5.733,777;5.737,505;129.136.068.566,60;2.242.907
WDOFUT;04/11/2025;5.771,061;5.798,758;5.763,604;5.797,693;141.931.731.812,37;2.456.917
WDOFUT;03/11/2025;5.762,539;5.770,529;5.728,983;5.748,158;126.426.049.811,56;2.200.845
WDOFUT;31/10/2025;5.779,051;5.789,171;5.759,343;5.767,333;142.957.716.597,63;2.476.557
WDOFUT;30/10/2025;5.750,678;5.785,511;5.750,678;5.774,257;123.777.896.257,15;2.144.879
WDOFUT;29/10/2025;5.752,285;5.756,572;5.721,203;5.743,711;162.138.150.813,41;2.825.476
WDOFUT;28/10/2025;5.772,113;5.780,688;5.743,175;5.750,142;119.625.506.058,98;2.076.785
WDOFUT;27/10/2025;5.758,180;5.780,688;5.753,357;5.768,362;113.243.974.204,52;1.963.477
WDOFUT;24/10/2025;5.784,439;5.793,013;5.757,644;5.782,831;111.650.399.798,48;1.932.503
WDOFUT;23/10/2025;5.802,659;5.803,731;5.776,401;5.779,080;109.768.788.006,15;1.897.693
WDOFUT;22/10/2025;5.795,693;5.815,521;5.775,865;5.802,659;142.177.423.168,82;2.453.178
WDOFUT;21/10/2025;5.792,477;5.808,554;5.770,506;5.790,334;139.816.458.007,24;2.415.099
WDOFUT;20/10/2025;5.819,272;5.819,272;5.769,434;5.776,401;117.200.233.289,61;2.026.295
WDOFUT;17/10/2025;5.862,144;5.872,326;5.810,162;5.814,449;145.773.096.529,67;2.495.003
WDOFUT;16/10/2025;5.862,679;5.872,861;5.832,669;5.865,895;156.056.222.002,41;2.665.480
WDOFUT;15/10/2025;5.876,077;5.887,866;5.846,067;5.868,038;150.976.401.222,75;2.573.075
WDOFUT;14/10/2025;5.901,264;5.940,920;5.873,933;5.895,369;199.884.573.162,18;3.381.941
WDOFUT;13/10/2025;5.916,269;5.922,700;5.860,536;5.877,684;156.695.098.611,96;2.662.751
WDOFUT;10/10/2025;5.787,118;5.959,140;5.774,257;5.958,604;283.789.231.705,27;4.832.123
WDOFUT;09/10/2025;5.744,783;5.797,836;5.736,744;5.794,621;163.022.805.522,43;2.824.814
WDOFUT;08/10/2025;5.774,793;5.782,295;5.744,783;5.749,070;145.197.360.425,99;2.520.099
WDOFUT;07/10/2025;5.738,888;5.778,008;5.736,209;5.774,793;144.402.458.763,04;2.508.026
WDOFUT;06/10/2025;5.768,362;5.772,649;5.725,491;5.726,562;135.730.367.431,02;2.364.164
WDOFUT;03/10/2025;5.755,501;5.786,583;5.746,390;5.764,075;152.379.447.517,06;2.642.709
WDOFUT;02/10/2025;5.744,247;5.801,588;5.730,850;5.765,147;160.074.087.093,28;2.776.049
WDOFUT;01/10/2025;5.731,385;5.762,467;5.716,916;5.753,357;149.740.932.021,97;2.607.692
WDOFUT;30/09/2025;5.739,424;5.761,931;5.729,778;5.745,855;144.333.648.456,65;2.511.971
WDOFUT;29/09/2025;5.773,377;5.774,998;5.731,792;5.748,534;136.224.657.732,49;2.368.855
WDOFUT;26/09/2025;5.800,381;5.800,381;5.765,816;5.783,639;131.904.143.784,23;2.282.227
WDOFUT;25/09/2025;5.758,255;5.807,942;5.740,433;5.799,301;175.315.125.736,43;3.034.338
WDOFUT;24/09/2025;5.726,931;5.769,057;5.724,771;5.738,813;131.584.850.803,12;2.290.046
WDOFUT;23/09/2025;5.776,078;5.783,639;5.708,029;5.708,569;174.629.072.663,80;3.041.923
WDOFUT;22/09/2025;5.762,576;5.806,862;5.758,255;5.774,998;144.006.322.004,50;2.490.069
WDOFUT;19/09/2025;5.765,816;5.780,398;5.755,015;5.774,458;117.148.163.699,29;2.031.618
WDOFUT;18/09/2025;5.735,032;5.761,496;5.708,029;5.747,454;149.491.670.920,05;2.605.589
WDOFUT;17/09/2025;5.743,673;5.756,095;5.715,050;5.753,935;156.072.785.442,45;2.718.527
WDOFUT;16/09/2025;5.751,234;5.767,977;5.735,572;5.738,813;134.882.083.617,01;2.345.627
WDOFUT;15/09/2025;5.799,841;5.802,001;5.756,095;5.765,276;138.491.296.330,48;2.398.803
WDOFUT;12/09/2025;5.857,629;5.866,810;5.793,360;5.800,921;162.909.982.267,43;2.798.222
WDOFUT;11/09/2025;5.870,590;5.885,713;5.831,705;5.848,448;152.011.614.334,61;2.597.929
WDOFUT;10/09/2025;5.898,134;5.902,995;5.858,709;5.862,489;130.650.689.941,90;2.223.241
WDOFUT;09/09/2025;5.886,793;5.910,556;5.877,071;5.898,134;130.097.933.508,72;2.207.160
WDOFUT;08/09/2025;5.874,911;5.917,577;5.868,430;5.888,953;124.932.570.228,36;2.120.216
WDOFUT;05/09/2025;5.901,375;5.911,096;5.848,988;5.880,312;168.643.824.653,69;2.871.169
WDOFUT;04/09/2025;5.940,260;5.948,361;5.915,417;5.919,737;129.265.043.784,62;2.179.359
WDOFUT;03/09/2025;5.939,720;5.945,121;5.907,315;5.923,518;136.021.811.721,37;2.295.241
